# {FROM RC}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#    WHERE buildspec_path is not null
#    AND line_ending_lf is not null
#    AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITH TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is not null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITHOUT TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;


groupid,artifactid,version # Header
# {FROM RC}
org.apache.isis.valuetypes,isis-valuetypes-prism-resources,2.0.0-M7
eu.maveniverse.maven.mima,context,1.0.3
org.apache.plc4x,plc4x-protocols-genericcan,0.10.0
org.apache.dubbo,dubbo-metadata-report-nacos,2.7.7
org.apache.maven.doxia,doxia-module-confluence,1.12.0
org.codehaus.modello,modello-plugin-stax,2.0.0
com.github.veithen.daemon,daemon-launcher-protocol,0.4.1
io.wcm.tooling.commons,io.wcm.tooling.commons.crx-packmgr-helper,2.1.6
io.dropwizard.metrics5,metrics-influxdb,5.0.0-rc10
org.apache.sling,org.apache.sling.models.api,1.5.0
io.liftwizard,liftwizard-graphql-instrumentation-metrics,1.0.0
org.apache.maven.resolver,maven-resolver-named-locks-hazelcast,1.9.7
org.apache.jena,jena-shacl,4.5.0
io.fabric8,volcano-model-v1beta1,5.11.1
org.apache.sling,maven-enforcer-rules,1.0.0
org.owasp,dependency-check-utils,7.3.2
com.github.veithen.checkt,checkt-annotation-processor,0.1.0
io.dropwizard.metrics5,metrics-jakarta-servlets,5.0.0-rc16
org.apache.batchee,batchee-webapp,1.0.3
org.glassfish.main.connectors,connectors-internal-api,7.0.5
org.apache.karaf.tooling,karaf-services-maven-plugin,4.3.7
org.apache.axis2,axis2-resource-bundle,1.8.1
org.glassfish.main.common,glassfish-mbeanserver,7.0.3
org.apache.plc4x,plc4j-apache-edgent,0.7.0
org.apache.jspwiki.it,jspwiki-it-test-custom-jdbc,2.11.3
org.alluxio,alluxio-underfs-adl,300
org.apache.isis.extensions,isis-extensions-pdfjs-ui,2.0.0-M7
org.apache.sling,org.apache.sling.feature,1.2.30
org.apache.activemq,artemis-log-annotation-processor,2.27.1
org.apache.ws.commons.axiom,axiom-weaver-maven-plugin,1.4.0
org.apache.plc4x,plc4x-build-utils-language-c,0.7.0
io.liftwizard,liftwizard-bundle-logging-config,0.15.0
io.dropwizard.metrics,metrics-jdbi3,4.1.22
world.convex,convex-peer,0.7.4
org.alluxio,alluxio-core-client-hdfs3,300
io.dropwizard.metrics5,metrics-jersey31,5.0.0-rc14
com.github.veithen.daemon,daemon-maven-plugin,0.4.2
org.apache.isis.viewer,isis-viewer-restfulobjects-viewer,2.0.0-M7
org.apache.sling,org.apache.sling.javax.activation,0.3.0
io.liftwizard,liftwizard-bundle-connection-manager-holder,0.35.0
io.liftwizard,liftwizard-reladomo-operation-compiler,0.5.0
io.liftwizard,liftwizard-servlet-logging-resource-info,0.13.0
io.fabric8,chaosmesh-server-mock,5.2.1
org.apache.maven.plugins,maven-scripting-plugin,3.0.0
org.glassfish.main,hk2-config-generator,7.0.5
org.apache.sling,org.apache.sling.sitemap,1.0.4
org.apache.maven.scm,maven-scm-provider-bazaar,1.12.2
org.apache.drill.contrib,drill-storage-googlesheets,1.21.0
com.github.veithen.daemon,daemon-api,0.5.0
io.liftwizard,liftwizard-bundle-object-mapper,0.28.0
io.liftwizard,liftwizard-config-clock-incrementing,0.18.0
org.apache.dubbo,dubbo-rpc-memcached,2.7.7
io.liftwizard,liftwizard-servlet-logging-mdc,1.0.1
io.liftwizard,liftwizard-config-system-properties,0.28.0
io.liftwizard,liftwizard-reladomo-test-resource-writer,0.35.0
org.apache.drill.contrib,drill-storage-elasticsearch,1.21.0
org.apache.maven.wagon,wagon-ssh-common,3.5.0
org.apache.accumulo,accumulo-minicluster,2.1.0
org.apache.jena,jena-rdfconnection,3.17.0
org.apache.batchee,batchee-camel,1.0.3
org.apache.sling,org.apache.sling.feature.diff,0.1.0
io.liftwizard,liftwizard-config-object-mapper,0.8.0
io.dropwizard.metrics,metrics-jakarta-servlet,4.2.10
io.fabric8,crd-generator-apt,6.4.0
io.liftwizard,liftwizard-configuration-factory-json,0.32.0
io.liftwizard,liftwizard-bundle-prioritized-api,0.4.0
org.apache.maven.doxia,doxia-module-latex,1.9.1
org.apache.syncope.common.keymaster.self,syncope-common-keymaster-client-self,3.0.0
org.apache.maven.reporting,maven-reporting-impl,4.0.0-M6
io.liftwizard,liftwizard-junit-rule-match-json,0.18.0
org.apache.maven.skins,maven-fluido-skin,2.0.0-M5
org.apache.karaf.minho,minho-banner,0.1
org.apache.logging.log4j,log4j-changelog,0.1.0
io.dropwizard,dropwizard-request-logging,2.0.31
org.apache.plc4x,plc4j-apache-camel,0.10.0
org.apache.sling,org.apache.sling.installer.core,3.11.4
org.apache.jspwiki,jspwiki-event,2.11.2
org.apache.maven.shared,maven-artifact-transfer,0.13.1
io.liftwizard,liftwizard-config-ddl-executor,0.4.0
org.apache.isis.valuetypes,isis-valuetypes-jodatime-applib,2.0.0-M7
io.liftwizard,liftwizard-bundle-h2,0.12.0
io.dropwizard.metrics5,metrics-httpasyncclient,5.0.0-rc16
